state,x,y
Andhra Pradesh,-140,-210
Arunachal Pradesh,250,180
Assam,245,100
Bihar,60,80
Chhattisgarh,-40,-30
Goa,-234,-200
Gujarat,-290,20
Haryana,-170,190
Himachal Pradesh,-145,260
Jharkhand,40,40
Karnataka,-204,-260
Kerala,-170,-350
Madhya Pradesh,-150,0
Maharashtra,-230,-100
Manipur,280,70
Meghalaya,210,90
Mizoram,260,40
Nagaland,300,120
Odisha,40,-50
Punjab,-200,230
Rajasthan,-270,120
Sikkim,140,145
Tamil Nadu,-140,-330
Telangana,-120,-140
Tripura,230,50
Uttar Pradesh,-60,110
Uttarakhand,-100,210
West Bengal,120,25
Chandigarh,-200,215
Lakshadweep,-300,-330
Delhi,-145,170
Puducherry,-70,-290
Jammu And Kashmir,-200,310
Ladakh,-145,340
Andaman And Nicobar Islands,240,-350
Dadra And Nagar Haveli And Daman And Diu,-380,-95
